url,street_address,price,housing,map_address
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-charming-lower-westside/7789766361.html,403 California near Laurent,"$4,900",/ 3br - 1420ft2 -,"https://www.google.com/maps/search/36.968641,-122.035060"
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-westside-bedrms1/7789586184.html,Western Drive near Mountain Way,"$4,500",/ 2br - 1150ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/aptos-roomate-wanted-to-share-bedroom/7789455194.html,N/A,"$1,500",/ 3br -,N/A
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-house-for-rent-santa-cruz/7785444480.html,318 Woodrow Ave,"$4,500",/ 1br - 650ft2 -,"https://www.google.com/maps/search/36.951651,-122.047974"
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-prime-location-spacious-and/7784858842.html,Mission St,"$4,550",/ 3br -,N/A
https://sfbay.craigslist.org/scz/apa/d/hollister-new-one-bedroom-one-bath-house/7788856294.html,N/A,"$2,000",/ 1br -,N/A
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-charming-lower-westside-house/7788598748.html,N/A,"$5,000",/ 3br - 1430ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-lower-westside-blocks-to/7788013106.html,N/A,"$4,000",/ 2br - 1200ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/scotts-valley-sunny-glenwood-home-with/7787456485.html,1495 Glenwood Drive near Scotts Valley Drive,"$3,600",/ 2br -,"https://www.google.com/maps/search/37.078747,-122.004172"
https://sfbay.craigslist.org/scz/apa/d/watsonville-completely-remodeled-house/7787364251.html,214 E Riverside Dr. near Lincoln St.,"$3,900",/ 3br - 1566ft2 -,"https://www.google.com/maps/search/36.909816,-121.749876"
